task_id,requirement_id,task_summary,proposed_owner_role,consulted_role,due_date,due_date_status,dependency,review_gate,status,routing_note
RT-001,CM-001,"Coordinate separate-file packaging for Volumes 1, 2, and 3",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final volume files","Proposal lead confirms package structure before upload","Not started","Owner is proposed; file separation is a proposal-operations task supported by submission instructions."
RT-002,CM-002,"Coordinate signed training representation form",contracts_reviewer,proposal_operations,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Representation form content and signature method decision","Contracts reviewer confirms form handling and proposal operations confirms file readiness","Not started","Representation handling is routed to contracts reviewer; signature method remains unspecified."
RT-003,CM-003,"Check Volume 1 page limit",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final Volume 1 draft","Proposal operations confirms page count and proposal lead accepts final layout","Not started","Volume 1 is limited to 12 pages excluding cover and contents; graphics count per QA-001."
RT-004,CM-004,"Check Volume 2 page limit",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final Volume 2 draft","Proposal operations confirms page count and proposal lead accepts final layout","Not started","Volume 2 is limited to 8 pages excluding cover and contents; graphics count per QA-001."
RT-005,CM-005,"Resolve Attachment B resume packaging ambiguity",proposal_operations,proposal_lead,,"Needs human planning","Resume files and portal packaging decision","Proposal lead confirms whether Attachment B is separate or included with Volume 2","Not started","QA-003 is unanswered and AMD-003 does not resolve separate upload treatment."
RT-006,CM-006,"Run 11-point font check for narrative text",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final narrative files","Proposal operations confirms formatting check","Not started","Formatting ownership is proposed based on team-role routing."
RT-007,CM-007,"Review table text size and readability",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final tables in response files","Proposal lead accepts readability after proposal operations check","Not started","AMD-001 adds readability review for 9-point table text."
RT-008,CM-008,"Include graphics in page-count verification",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final files containing graphics","Proposal operations confirms graphics are counted inside the relevant volume","Not started","QA-001 answers graphics counting for volume page limits."
RT-009,CM-009,"Draft workflow discovery approach",technical_sme,proposal_lead,,"Needs human planning","Approved technical inputs and response outline","Technical SME confirms accuracy and proposal lead confirms placement","Not started","Technical SME develops technical approach content; internal draft date is not supplied."
RT-010,CM-010,"Draft sample workshop plan",technical_sme,proposal_lead,,"Needs human planning","Workshop-plan assumptions and response outline","Technical SME confirms feasibility and proposal lead confirms fit","Not started","Workshop plan is technical content in Volume 1."
