requirement_id,requirement_summary,source_section,response_location,required_artifact,page_or_format_limit,evidence_needed,compliance_risk,review_status,human_review_note
CM-001,"Response must contain Volume 1, Volume 2, and Volume 3 as separate files","Synthetic Section L.1; Submission Instructions - Packaging Notes","Submission package","Three separate volume files","Separate files required; Volume 3 must not be merged into Volume 1 or Volume 2","Upload/package check showing each required volume is separate","File extension is not specified for Volume 1 or Volume 2","Needs qualified review","Proposal operations should confirm portal upload behavior and file-extension treatment."
CM-002,"Signed training representation form must be submitted as a fourth file","Synthetic Section L.1; Submission Instructions - Required Files","Separate file","Signed training representation form","Required naming pattern: SYN-RFP-2031-007_RepForm_[OfferorName]; signature method not specified","Signed form and file-name check","Signature method is not specified in supplied materials","Needs qualified review","Contracts reviewer should review representation-form handling; no approval is implied."
CM-003,"Volume 1 Technical Approach must not exceed 12 pages","Synthetic Section L.2; Deliverables D-01","Volume 1","Technical Approach","12 pages; cover page and table of contents excluded","Page-count check for final Volume 1","Graphics count toward the volume page limit per QA-001; screenshots or graphics treatment beyond that is not otherwise defined","Needs qualified review","Proposal operations should confirm page count after final formatting."
CM-004,"Volume 2 Management and Staffing must not exceed 8 pages","Synthetic Section L.2; Deliverables D-02","Volume 2","Management and Staffing","8 pages; cover page and table of contents excluded","Page-count check for final Volume 2","Graphics count toward the volume page limit per QA-001; screenshots or graphics treatment beyond that is not otherwise defined","Needs qualified review","Proposal operations should confirm page count after final formatting."
CM-005,"Resumes are limited to two pages each and must be placed in Attachment B","Synthetic Section L.2; Synthetic Attachment B; AMD-003; QA-003; Deliverables D-05","Attachment B","Resumes","2 pages each","Resume page-count check and Attachment B placement check","Source packet does not clarify whether Attachment B is uploaded separately or included with Volume 2","Needs qualified review","Proposal operations should preserve the packaging ambiguity for human decision."
CM-006,"Response text must use fictional standard font at 11 points or larger","Synthetic Section L.2","All narrative response files","Formatted response files","11-point minimum for ordinary text","Formatting check across narrative volumes and attachments","None identified beyond final formatting verification","Not reviewed","Proposal operations should confirm after draft assembly."
CM-007,"Tables may use 9-point text and must remain readable","Synthetic Section L.2; AMD-001","All response files containing tables","Formatted response tables","9-point table text allowed; amendment adds readability check","Formatting and readability review for tables","Readability is qualitative and needs human review","Needs qualified review","Proposal operations should route any unclear table readability issue to proposal lead."
CM-008,"Graphics included inside a volume count toward that volume's page limit","Synthetic Section L.2; QA-001","Volume 1 and Volume 2","Formatted response files","No separate graphic exclusion identified","Page-count check including graphics","Graphics treatment is answered for volume page limits but still requires final layout review","Needs qualified review","Proposal operations should include graphics in page-count verification."
CM-009,"Volume 1 must describe the workflow discovery approach","Synthetic Section L.3","Volume 1","Technical approach narrative","Subject to 12-page Volume 1 limit","Draft section explaining discovery approach with source/evidence support","Content adequacy requires technical review","Needs qualified review","Technical SME should confirm accuracy of the proposed discovery approach."
CM-010,"Volume 1 must provide a sample workshop plan","Synthetic Section L.3","Volume 1","Sample workshop plan","Subject to 12-page Volume 1 limit","Workshop plan draft","Plan feasibility requires technical and proposal review","Needs qualified review","Technical SME should review feasibility; proposal lead should confirm placement."
